"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE992725458986";"WEA 1";"In Betrieb";"29.12.2004";"29.4.2019";"Wind";"1500";"1500";"04626";"Mehna";"provent Windpark Mehna GmbH & Co. KG";"ABR976342237919";"19.5.2021"
"SEE911788064149";"WEA 6";"In Betrieb";"24.11.2011";"29.4.2019";"Wind";"2050";"2050";"04639";"Ponitz";"meridian Windpark Zschöpel GmbH & Co.KG";"ABR973854946681";"20.12.2024"
"SEE990813199667";"WEA 7";"In Betrieb";"29.11.2011";"29.4.2019";"Wind";"2050";"2050";"04639";"Ponitz";"meridian Windpark Zschöpel GmbH & Co.KG";"ABR973854946681";"20.12.2024"
"SEE968683557863";"WEA 8";"In Betrieb";"29.11.2011";"29.4.2019";"Wind";"2050";"2050";"04639";"Ponitz";"meridian Windpark Zschöpel GmbH & Co.KG";"ABR973854946681";"20.12.2024"
"SEE988842182385";"WEA 9";"In Betrieb";"1.12.2011";"29.4.2019";"Wind";"2050";"2050";"04639";"Ponitz";"meridian Windpark Zschöpel GmbH & Co.KG";"ABR973854946681";"20.12.2024"
"SEE951721678996";"WEA10";"In Betrieb";"24.11.2011";"29.4.2019";"Wind";"2050";"2050";"04639";"Ponitz";"meridian Windpark Zschöpel GmbH & Co.KG";"ABR973854946681";"1.5.2025"
"SEE924115847834";"WEA 6";"In Betrieb";"15.9.2016";"29.4.2019";"Wind";"2400";"2400";"04626";"Thonhausen";"meridian Windpark Thonhausen GmbH & Co. KG";"ABR926053256228";"20.12.2024"
"SEE905015577458";"WEA 4";"In Betrieb";"21.9.2016";"29.4.2019";"Wind";"2400";"2400";"04626";"Thonhausen";"meridian Windpark Thonhausen GmbH & Co. KG";"ABR926053256228";"20.12.2024"
"SEE919438327644";"WEA 5";"In Betrieb";"26.9.2016";"29.4.2019";"Wind";"2400";"2400";"04626";"Thonhausen";"meridian Windpark Thonhausen GmbH & Co. KG";"ABR926053256228";"20.12.2024"
"SEE929841659676";"WEA 7";"In Betrieb";"22.12.2016";"29.4.2019";"Wind";"2400";"2400";"04626";"Thonhausen";"meridian Windpark Thonhausen GmbH & Co. KG";"ABR926053256228";"20.12.2024"
"SEE966308420295";"1150702";"In Betrieb";"6.6.2018";"26.4.2019";"Wind";"3000";"3000";"99735";"Kleinfurra";"Windpark GmbH & Co. Nentzelsrode KG";"ABR984273646076";"18.12.2024"
"SEE902378964666";"1150703";"In Betrieb";"13.6.2018";"26.4.2019";"Wind";"3000";"3000";"99735";"Kleinfurra";"Windpark GmbH & Co. Nentzelsrode KG";"ABR984273646076";"18.12.2024"
"SEE922574758807";"1150704";"In Betrieb";"5.6.2018";"26.4.2019";"Wind";"3000";"3000";"99735";"Kleinfurra";"Windpark GmbH & Co. Nentzelsrode KG";"ABR984273646076";"18.12.2024"
"SEE953289998660";"1150705";"In Betrieb";"30.5.2018";"26.4.2019";"Wind";"3000";"3000";"99735";"Kleinfurra";"Windpark GmbH & Co. Nentzelsrode KG";"ABR984273646076";"18.12.2024"
"SEE983320318775";"1150706";"In Betrieb";"27.6.2018";"26.4.2019";"Wind";"3000";"3000";"99735";"Kleinfurra";"Windpark GmbH & Co. Nentzelsrode KG";"ABR984273646076";"18.12.2024"
"SEE955065786768";"eno126008";"In Betrieb";"22.12.2017";"25.4.2019";"Wind";"4000";"4000";"99752";"Wipperdorf";"Norddeutsche Energie WP Wipperdorf GmbH & Co. KG";"ABR903277320485";"11.11.2024"
"SEE997579681412";"eno126009";"In Betrieb";"22.12.2017";"25.4.2019";"Wind";"4000";"4000";"99752";"Wipperdorf";"Norddeutsche Energie WP Wipperdorf GmbH & Co. KG";"ABR903277320485";"11.11.2024"
"SEE939864122118";"eno126007";"In Betrieb";"22.12.2017";"24.4.2019";"Wind";"4000";"4000";"99752";"Bleicherode";"Norddeutsche Energie WP Wipperdorf GmbH & Co. KG";"ABR903277320485";"11.11.2024"
"SEE916222462048";"WEA 7";"In Betrieb";"18.6.2018";"18.4.2019";"Wind";"3450";"3450";"37308";"Reinholterode";"WKE Windkraft Eichsfeld GmbH & Co. Webersberg KG";"ABR921092617566";"29.2.2024"
"SEE933680127968";"25000";"In Betrieb";"24.8.2006";"18.4.2019";"Wind";"2000";"2000";"36404";"Vacha";"Windkraft Lohberg ApS & Co. KG";"ABR922431785137";"27.12.2024"
"SEE959350167515";"222377-1";"In Betrieb";"6.6.2018";"10.4.2019";"Wind";"3450";"3450";"99518";"Bad Sulza";"Windpark Eckolstädt II GmbH & Co. KG";"ABR960962129105";"4.6.2024"
"SEE917427680855";"222378-2";"In Betrieb";"6.6.2018";"10.4.2019";"Wind";"3450";"3450";"99518";"Bad Sulza";"Windpark Eckolstädt II GmbH & Co. KG";"ABR960962129105";"4.6.2024"
"SEE942965497238";"222379-3";"In Betrieb";"18.6.2018";"10.4.2019";"Wind";"3450";"3450";"99518";"Bad Sulza";"Windpark Eckolstädt II GmbH & Co. KG";"ABR960962129105";"4.6.2024"
"SEE959097481714";"222380-4";"In Betrieb";"18.6.2018";"10.4.2019";"Wind";"3450";"3450";"99518";"Bad Sulza";"Windpark Eckolstädt II GmbH & Co. KG";"ABR960962129105";"4.6.2024"
"SEE917536168756";"222381-5";"In Betrieb";"18.6.2018";"10.4.2019";"Wind";"3450";"3450";"99510";"Apolda";"Windpark Eckolstädt II GmbH & Co. KG";"ABR960962129105";"4.6.2024"
